ensembl	symbol	entrez
19456	ENSG00000118526	TCF21	6943
19458	ENSG00000187545	PRAMEF10	343071
19461	ENSG00000105376	ICAM5	7087
19462	ENSG00000158406	HIST1H4H	8365
19469	ENSG00000131095	GFAP	2670
19471	ENSG00000148735	PLEKHS1	79949
19472	ENSG00000143869	GDF7	151449
19473	ENSG00000131721	RHOXF2	84528
19474	ENSG00000198780	FAM169A	26049
19475	ENSG00000264006	AKR1C8P	340811
19479	ENSG00000161681	SHANK1	50944
19481	ENSG00000272803	PRH2	5555
19484	ENSG00000127530	OR7C1	26664
19485	ENSG00000058335	RASGRF1	5923
19486	ENSG00000267041	ZNF850	342892
19489	ENSG00000122133	PAEP	5047
19490	ENSG00000204060	FOXO6	100132074
19491	ENSG00000058056	USP13	8975
19499	ENSG00000106331	PAX4	5078
19502	ENSG00000188305	C19orf35	374872
19505	ENSG00000275452	KIR2DS2	100132285
19506	ENSG00000178996	SNX18	112574
19508	ENSG00000173436	MINOS1	440574
19510	ENSG00000147434	CHRNA6	8973
19511	ENSG00000198690	FAN1	22909
19513	ENSG00000158516	CPA2	1358
19520	ENSG00000223773	CD99P1	401577
19521	ENSG00000168874	ATOH8	84913
19522	ENSG00000132254	ARFIP2	23647
19523	ENSG00000177464	GPR4	2828
19530	ENSG00000234377	RNF219-AS1	100874222
19532	ENSG00000172179	PRL	5617
19534	ENSG00000041982	TNC	3371
19535	ENSG00000174672	BRSK2	9024
19537	ENSG00000130429	ARPC1B	10095
19539	ENSG00000250334	LINC00989	100506035
19540	ENSG00000100564	PIGH	5283
19546	ENSG00000176533	GNG7	2788
19548	ENSG00000276423	KIR3DL1	3811
19550	ENSG00000243189	HLA-DMA	3108
19552	ENSG00000237216	HLA-G	3135
19556	ENSG00000185220	PGBD2	267002
19558	ENSG00000180785	OR51E1	143503
19559	ENSG00000144120	TMEM177	80775
19561	ENSG00000187272	KRTAP9-8	83901
19562	ENSG00000206072	SERPINB11	89778
19569	ENSG00000166439	RNF169	254225
19570	ENSG00000145907	G3BP1	10146
19576	ENSG00000223639	CLIC1	1192
19579	ENSG00000167842	MIS12	79003
19581	ENSG00000117399	CDC20	991
19586	ENSG00000145715	RASA1	5921
19590	ENSG00000227195	MIR663AHG	284801
19591	ENSG00000197779	ZNF81	347344
19595	ENSG00000172421	EFCAB3	146779
19597	ENSG00000236384	LINC00479	150135
19601	ENSG00000183785	TUBA8	51807
19604	ENSG00000227467	LINC01537	101928555
19605	ENSG00000134490	TMEM241	85019
19606	ENSG00000141098	GFOD2	81577
19607	ENSG00000248098	BCKDHA	593
19610	ENSG00000169413	RNASE6	6039
19611	ENSG00000269220	LINC00528	200298
19616	ENSG00000278494	RRN3	54700
19618	ENSG00000213397	HAUS7	55559
19623	ENSG00000232367	TAP1	6890
19625	ENSG00000166930	MS4A5	64232
19628	ENSG00000136237	RAPGEF5	9771
19630	ENSG00000008516	MMP25	64386
19632	ENSG00000136830	FAM129B	64855
19635	ENSG00000143845	ETNK2	55224
19639	ENSG00000196550	FAM72A	554282
19640	ENSG00000196550	FAM72A	728833
19641	ENSG00000196550	FAM72A	729533
19643	ENSG00000108179	PPIF	10105
19644	ENSG00000142733	MAP3K6	9064
19647	ENSG00000157093	LYZL4	131375
19649	ENSG00000188766	SPRED3	399473
19657	ENSG00000144746	ARL6IP5	10550
19658	ENSG00000030582	GRN	2896
19659	ENSG00000071894	CPSF1	29894
19662	ENSG00000170961	HAS2	3037
19666	ENSG00000143819	EPHX1	2052
19667	ENSG00000129824	RPS4Y1	6192
19668	ENSG00000205269	TMEM170B	100113407
19669	ENSG00000105879	CBLL1	79872
19670	ENSG00000255394	C8orf49	606553
19671	ENSG00000122584	NXPH1	30010
19673	ENSG00000267795	SMIM22	440335
19676	ENSG00000230522	MBD3L2	125997
19679	ENSG00000140557	ST8SIA2	8128
19681	ENSG00000166136	NDUFB8	4714
19683	ENSG00000147400	CETN2	1069
19687	ENSG00000258890	CEP95	90799
19688	ENSG00000135638	EMX1	2016
19690	ENSG00000116017	ARID3A	1820
19691	ENSG00000161960	EIF4A1	1973
19693	ENSG00000108509	CAMTA2	23125
19696	ENSG00000110448	CD5	921
19700	ENSG00000101343	CRNKL1	51340
19701	ENSG00000260231	JHDM1D-AS1	100134229
19702	ENSG00000242715	CCDC169	728591
19703	ENSG00000183287	CCBE1	147372
19707	ENSG00000198889	DCAF12L1	139170
19709	ENSG00000100934	SEC23A	10484
19710	ENSG00000177125	ZBTB34	403341
19712	ENSG00000147262	GPR119	139760
19713	ENSG00000204147	ASAH2B	653308
19718	ENSG00000184557	SOCS3	9021
19722	ENSG00000185477	GPRIN3	285513
19724	ENSG00000172551	MUCL1	118430
19729	ENSG00000145425	RPS3A	6189
19730	ENSG00000124570	SERPINB6	5269
19731	ENSG00000251192	ZNF674	641339
19733	ENSG00000198951	NAGA	4668
19736	ENSG00000145723	GIN1	54826
19739	ENSG00000130414	NDUFA10	4705
19740	ENSG00000233450	KIFC1	3833
19741	ENSG00000188186	LAMTOR4	389541
19744	ENSG00000108312	UBTF	7343
19747	ENSG00000185187	SIGIRR	59307
19748	ENSG00000149634	SPATA25	128497
19750	ENSG00000198077	CYP2A7	1549
19755	ENSG00000147852	VLDLR	7436
19758	ENSG00000113712	CSNK1A1	1452
19759	ENSG00000114771	AADAC	13
19762	ENSG00000160799	CCDC12	151903
19763	ENSG00000236901	MIR600HG	81571
19765	ENSG00000263022	KRT37	8688
19769	ENSG00000003249	DBNDD1	79007
19772	ENSG00000237853	NFIA-AS1	645030
19773	ENSG00000145817	YIPF5	81555
19778	ENSG00000100448	CTSG	1511
19781	ENSG00000104957	CCDC130	81576
19783	ENSG00000165066	NKX6-3	157848
19787	ENSG00000090512	FETUB	26998
19788	ENSG00000197933	ZNF823	55552
19795	ENSG00000228139	LINC01402	104797536
19797	ENSG00000124172	ATP5E	514
19800	ENSG00000244617	ASPRV1	151516
19803	ENSG00000160058	BSDC1	55108
19804	ENSG00000072518	MARK2	2011
19807	ENSG00000232957	HLA-DOA	3111
19810	ENSG00000164626	KCNK5	8645
19811	ENSG00000129465	RIPK3	11035
19813	ENSG00000242574	HLA-DMB	3109
19815	ENSG00000127129	EDN2	1907
19819	ENSG00000090674	MCOLN1	57192
19820	ENSG00000186960	LINC01551	387978
19823	ENSG00000275317	KIR2DL4	3805
19824	ENSG00000229833	PET100	100131801
19826	ENSG00000185038	MROH2A	339766
19827	ENSG00000158321	AUTS2	26053
19831	ENSG00000130208	APOC1	341
19832	ENSG00000101017	CD40	958
19833	ENSG00000189077	TMEM120A	83862
19839	ENSG00000147403	RPL10	6134
19840	ENSG00000188379	IFNA2	3440
19841	ENSG00000160224	AIRE	326
19844	ENSG00000189042	ZNF567	163081
19847	ENSG00000188511	C22orf34	348645
19849	ENSG00000235156	TMEM30C	644444
19851	ENSG00000205544	TMEM256	254863
19852	ENSG00000112936	C7	730
19854	ENSG00000115648	MLPH	79083
19856	ENSG00000167910	CYP7A1	1581
19862	ENSG00000136379	ABHD17C	58489
19866	ENSG00000174529	TMEM81	388730
19867	ENSG00000069966	GNB5	10681
19868	ENSG00000182957	SPATA13	221178
19869	ENSG00000215547	DEFB115	245929
19870	ENSG00000240198	ARHGEF3-AS1	100874200
19872	ENSG00000164402	SEPT8	23176
19873	ENSG00000261594	TPBGL	100507050
19878	ENSG00000134198	TSPAN2	10100
19880	ENSG00000276194	HNF1B	6928
19884	ENSG00000213996	TM6SF2	53345
19894	ENSG00000182255	KCNA4	3739
19897	ENSG00000198216	CACNA1E	777
19903	ENSG00000188659	SAXO2	283726
19905	ENSG00000171223	JUNB	3726
19908	ENSG00000237647	ERICH1-AS1	619343
19910	ENSG00000196620	UGT2B15	7366
19914	ENSG00000162461	SLC25A34	284723
19916	ENSG00000062524	LTK	4058
19918	ENSG00000138286	FAM149B1	317662
19925	ENSG00000114547	ROPN1B	152015
19927	ENSG00000261556	SMG1P7	100506060
19929	ENSG00000224057	EGFR-AS1	100507500
19930	ENSG00000117298	ECE1	1889
19932	ENSG00000234855	SLIT1-AS1	100505540
19934	ENSG00000241644	INMT	11185
19939	ENSG00000008513	ST3GAL1	6482
19940	ENSG00000171509	RXFP1	59350
19942	ENSG00000115523	GNLY	10578
19945	ENSG00000229215	HLA-A	3105
19948	ENSG00000184347	SLIT3	6586
19953	ENSG00000163710	PCOLCE2	26577
19956	ENSG00000183454	GRIN2A	2903
19959	ENSG00000179913	B3GNT3	10331
19962	ENSG00000152700	SAR1B	51128
19963	ENSG00000196586	MYO6	4646
19964	ENSG00000160963	COL26A1	136227
19966	ENSG00000126249	PDCD2L	84306
19968	ENSG00000100109	TFIP11	24144
19970	ENSG00000187051	RPS19BP1	91582
19971	ENSG00000125149	C16orf70	80262
19973	ENSG00000015171	ZMYND11	10771
19974	ENSG00000129816	TTTY1B	50858
19975	ENSG00000129816	TTTY1B	100101116
19977	ENSG00000129925	TMEM8A	58986
19980	ENSG00000168350	DEGS2	123099
19981	ENSG00000275938	KIR2DS4	3809
19983	ENSG00000135966	TGFBRAP1	9392
19986	ENSG00000185437	SH3BGR	6450
19989	ENSG00000117533	VAMP4	8674
19990	ENSG00000178922	HYI	81888
19991	ENSG00000223891	OSER1-AS1	100505783
19992	ENSG00000132359	RAP1GAP2	23108
19994	ENSG00000155636	RBM45	129831
19996	ENSG00000179833	SERTAD2	9792
19999	ENSG00000167178	ISLR2	57611
20000	ENSG00000276416	UNC79	57578
20002	ENSG00000171053	PATE1	160065
20003	ENSG00000282228	PAM16	51025
20004	ENSG00000187792	ZNF70	7621
20005	ENSG00000278201	KIR2DL4	3805
20006	ENSG00000261738	MIR3976HG	645355
20007	ENSG00000105656	ELL	8178
20008	ENSG00000120158	RCL1	10171
20010	ENSG00000060982	BCAT1	586
20013	ENSG00000101162	TUBB1	81027
20014	ENSG00000196329	GIMAP5	55340
20029	ENSG00000159733	ZFYVE28	57732
20033	ENSG00000150907	FOXO1	2308
20036	ENSG00000130653	PNPLA7	375775
20040	ENSG00000250486	FAM218A	152756
20041	ENSG00000251562	MALAT1	378938
20043	ENSG00000016490	CLCA1	1179
20045	ENSG00000069956	MAPK6	5597
20050	ENSG00000124602	UNC5CL	222643
20052	ENSG00000183439	TRIM61	391712
20053	ENSG00000205696	ADARB2-AS1	642394
20054	ENSG00000186867	QRFPR	84109
20057	ENSG00000181718	OR5T2	219464
20058	ENSG00000129245	FXR2	9513
20059	ENSG00000125503	PPP1R12C	54776
20061	ENSG00000234530	NFKBIL1	4795
20063	ENSG00000174898	CATSPERD	257062
20064	ENSG00000038382	TRIO	7204
20066	ENSG00000204450	TRIM64	120146
20067	ENSG00000145247	OCIAD2	132299
20069	ENSG00000102390	PBDC1	51260
20072	ENSG00000206149	HERC2P9	440248
20075	ENSG00000113522	RAD50	10111
20080	ENSG00000241484	ARHGAP8	23779
20082	ENSG00000230685	CLIC1	1192
20083	ENSG00000278565	CEACAM21	90273
20086	ENSG00000275539	LILRA6	11025
20087	ENSG00000275539	LILRA6	79168
20093	ENSG00000091483	FH	2271
20095	ENSG00000132003	ZSWIM4	65249
20102	ENSG00000112972	HMGCS1	3157
20105	ENSG00000222018	C21orf140	101928147
20106	ENSG00000222018	C21orf140	102723451
20110	ENSG00000237563	TTTY21B	252953
20111	ENSG00000237563	TTTY21B	100101115
20112	ENSG00000178234	GALNT11	63917
20115	ENSG00000146426	TIAM2	26230
20117	ENSG00000169964	TMEM42	131616
20120	ENSG00000203857	HSD3B1	3283
20127	ENSG00000164053	ATRIP	84126
20128	ENSG00000187398	LUZP2	338645
20129	ENSG00000126353	CCR7	1236
20130	ENSG00000205670	SMIM11A	54065
20131	ENSG00000205670	SMIM11A	102723553
20134	ENSG00000065268	WDR18	57418
20136	ENSG00000137393	RNF144B	255488
20138	ENSG00000164167	LSM6	11157
20139	ENSG00000165730	STOX1	219736
20141	ENSG00000161036	LRWD1	222229
20143	ENSG00000180769	WDFY3-AS2	404201
20145	ENSG00000039560	RAI14	26064
20146	ENSG00000183527	PSMG1	8624
20147	ENSG00000137877	SPTBN5	51332
20148	ENSG00000181995	LINC00301	283197
20155	ENSG00000151414	NEK7	140609
20156	ENSG00000101438	SLC32A1	140679
20160	ENSG00000276825	DRD4	1815
20164	ENSG00000140400	MAN2C1	4123
20168	ENSG00000227046	DAXX	1616
20170	ENSG00000278726	KIR3DL2	3812
20173	ENSG00000106397	PLOD3	8985
20176	ENSG00000136206	SPDYE1	285955
20180	ENSG00000100068	LRP5L	91355
20184	ENSG00000228907	RNF5	6048
20185	ENSG00000228907	RNF5	6048
20187	ENSG00000169885	CALML6	163688
20188	ENSG00000124212	PTGIS	5740
20189	ENSG00000186496	ZNF396	252884
20190	ENSG00000198492	YTHDF2	51441
20192	ENSG00000239521	GATS	352954
20193	ENSG00000229363	NELFE	7936
20194	ENSG00000110047	EHD1	10938
20195	ENSG00000177303	CASKIN2	57513
20196	ENSG00000103313	MEFV	4210
20197	ENSG00000276950	GSTTP1	25774
20201	ENSG00000099910	KLHL22	84861
20203	ENSG00000117505	DR1	1810
20204	ENSG00000238243	OR2W3	343171
20206	ENSG00000226935	LINC00161	118421
20207	ENSG00000138185	ENTPD1	953
20209	ENSG00000111885	MAN1A1	4121
20211	ENSG00000162722	TRIM58	25893
20212	ENSG00000165506	DNAAF2	55172
20213	ENSG00000147883	CDKN2B	1030
20214	ENSG00000281261	FAM99A	387742
20215	ENSG00000179751	SYCN	342898
20216	ENSG00000169245	CXCL10	3627
20218	ENSG00000260260	SNHG19	100507303
20219	ENSG00000278216	UGT2A3	79799
20220	ENSG00000139370	SLC15A4	121260
20224	ENSG00000144451	SPAG16	79582
20227	ENSG00000180846	CSNK1G2-AS1	255193
20232	ENSG00000164120	HPGD	3248
20234	ENSG00000226122	DDC-AS1	100129427
20237	ENSG00000121864	ZNF639	51193
20239	ENSG00000168936	TMEM129	92305
20241	ENSG00000169208	OR10G3	26533
20245	ENSG00000168348	INSM2	84684
20248	ENSG00000198342	ZNF442	79973
20251	ENSG00000187688	TRPV2	51393
20253	ENSG00000171467	ZNF318	24149
20255	ENSG00000225128	LINC00972	105375380
20258	ENSG00000138696	BMPR1B	658
20260	ENSG00000162493	PDPN	10630
20262	ENSG00000164877	MICALL2	79778
20268	ENSG00000257743	MGAM2	93432
20269	ENSG00000181371	OR5M8	219484
20274	ENSG00000164093	PITX2	5308
20285	ENSG00000226887	ERVMER34-1	100288413
20288	ENSG00000225629	HCG22	285834
20290	ENSG00000133424	LARGE	9215
20291	ENSG00000231649	SPATA31B1P	404770
20292	ENSG00000119973	PRLHR	2834
20298	ENSG00000214262	ANKRD36BP1	84832
20299	ENSG00000100450	GZMH	2999
20300	ENSG00000144891	AGTR1	185
20301	ENSG00000107438	PDLIM1	9124
20304	ENSG00000146072	TNFRSF21	27242
20305	ENSG00000231459	LINC00032	158035
20308	ENSG00000213186	TRIM59	286827
20312	ENSG00000273814	OCLN	100506658
20314	ENSG00000282343	KCNQ1-AS1	338653
20317	ENSG00000136425	CIB2	10518
20319	ENSG00000076053	RBM7	10179
20320	ENSG00000275302	CCL4	6351
20321	ENSG00000180919	OR56B4	196335
20322	ENSG00000224877	C17orf89	284184
20323	ENSG00000254087	LYN	4067
20324	ENSG00000099330	OCEL1	79629
20326	ENSG00000213064	SFT2D2	375035
20331	ENSG00000140153	WDR20	91833
20332	ENSG00000108773	KAT2A	2648
20333	ENSG00000120896	SORBS3	10174
20334	ENSG00000168530	MYL1	4632
20335	ENSG00000173559	NABP1	64859
20336	ENSG00000060069	CTDP1	9150
20337	ENSG00000196476	C20orf96	140680
20338	ENSG00000106263	EIF3B	8662
20340	ENSG00000130477	UNC13A	23025
20341	ENSG00000164054	SHISA5	51246
20342	ENSG00000274891	TRAPPC12	51112
20352	ENSG00000232099	ZFP57	346171
20354	ENSG00000135392	DNAJC14	85406
20359	ENSG00000214944	ARHGEF28	64283
20360	ENSG00000169429	CXCL8	3576
20364	ENSG00000232685	LINC00442	348021
20366	ENSG00000143321	HDGF	3068
20367	ENSG00000177628	GBA	2629
20369	ENSG00000101811	CSTF2	1478
20370	ENSG00000082482	KCNK2	3776
20373	ENSG00000171649	ZIK1	284307
20374	ENSG00000229630	LINC01264	104266963
20375	ENSG00000132026	RTBDN	83546
20376	ENSG00000158186	MRAS	22808
20378	ENSG00000236076	LINC01072	104355137
20379	ENSG00000167291	TBC1D16	125058
20388	ENSG00000162836	ACP6	51205
20389	ENSG00000163611	SPICE1	152185
20390	ENSG00000275774	HNRNPCL2	440563
20394	ENSG00000154642	C21orf91	54149
20399	ENSG00000173295	FAM86B3P	286042
20401	ENSG00000127515	OR7A10	390892
20402	ENSG00000058272	PPP1R12A	4659
20403	ENSG00000183655	KLHL25	64410
20404	ENSG00000169371	SNUPN	10073
20407	ENSG00000175595	ERCC4	2072
20413	ENSG00000274764	PRAMEF27	101929983
20414	ENSG00000170296	GABARAP	11337
20416	ENSG00000121210	KIAA0922	23240
20418	ENSG00000233209	HLA-DQB1	3119
20421	ENSG00000144035	NAT8	9027
20422	ENSG00000187122	SLIT1	6585
20424	ENSG00000186526	CYP4F8	11283
20426	ENSG00000086570	FAT2	2196
20427	ENSG00000145526	CDH18	1016
20428	ENSG00000002919	SNX11	29916
20430	ENSG00000149970	CNKSR2	22866
20432	ENSG00000168411	RFWD3	55159
20436	ENSG00000276180	HIST1H4I	8294
20438	ENSG00000282076	KCNQ1	3784
20439	ENSG00000267014	LINC01532	100505835
20443	ENSG00000184735	DDX53	168400
20449	ENSG00000108433	GOSR2	9570
20450	ENSG00000120800	UTP20	27340
20452	ENSG00000110931	CAMKK2	10645
20459	ENSG00000176046	NUPR1	26471
20460	ENSG00000185385	OR7A17	26333
20465	ENSG00000140519	RHCG	51458
20466	ENSG00000263155	MYZAP	100820829
20469	ENSG00000175809	ZNF645	158506
20473	ENSG00000114631	PODXL2	50512
20474	ENSG00000108759	KRT32	3882
20475	ENSG00000084636	COL16A1	1307
20478	ENSG00000249700	SRD5A3-AS1	100506462
20479	ENSG00000222019	URAHP	100130015
20480	ENSG00000105472	CLEC11A	6320
20481	ENSG00000232062	HLA-DQA1	3117
20482	ENSG00000088766	CRLS1	54675
20483	ENSG00000172828	CES3	23491
20485	ENSG00000183549	ACSM5	54988
20486	ENSG00000276209	KIR2DS4	3809
20490	ENSG00000257008	GPR142	350383
20495	ENSG00000128218	VPREB3	29802
20498	ENSG00000074603	DPP8	54878
20499	ENSG00000081985	IL12RB2	3595
20501	ENSG00000181610	MRPS23	51649
20512	ENSG00000138398	PPIG	9360
20517	ENSG00000180098	TRNAU1AP	54952
20538	ENSG00000142748	FCN3	8547
20539	ENSG00000198055	GRK6	2870
20548	ENSG00000179406	LINC00174	285908
20549	ENSG00000204928	GRXCR2	643226
20551	ENSG00000170776	AKAP13	11214
20553	ENSG00000007933	FMO3	2328
20554	ENSG00000138755	CXCL9	4283
20555	ENSG00000134259	NGF	4803
20558	ENSG00000100439	ABHD4	63874
20559	ENSG00000041353	RAB27B	5874
20561	ENSG00000205084	TMEM231	79583
20562	ENSG00000236196	NFKBIL1	4795
20563	ENSG00000250959	GLUD1P3	2749
20565	ENSG00000198839	ZNF277	11179
20567	ENSG00000188056	TREML4	285852
20568	ENSG00000238064	HCG25	414765
20569	ENSG00000115084	SLC35F5	80255
20570	ENSG00000108306	FBXL20	84961
20572	ENSG00000275546	KIR2DL2	3803
20573	ENSG00000168243	GNG4	2786
20578	ENSG00000273111	LYPD4	147719
20580	ENSG00000234746	OR2J2	26707
20583	ENSG00000204946	ZNF783	100289678
20585	ENSG00000168748	CA7	766
20586	ENSG00000106631	MYL7	58498
20588	ENSG00000262771	SSBP1	6742
20589	ENSG00000080189	SLC35C2	51006
20591	ENSG00000125726	CD70	970
20597	ENSG00000136819	C9orf78	51759
20599	ENSG00000053524	MCF2L2	23101
20603	ENSG00000086967	MYBPC2	4606
20605	ENSG00000171671	SHANK2-AS3	220070
20607	ENSG00000067248	DHX29	54505
20611	ENSG00000133612	AGAP3	116988
20616	ENSG00000213967	ZNF726	730087
20617	ENSG00000224958	PGM5-AS1	572558
20620	ENSG00000271271	UGT2A2	574537
20621	ENSG00000109519	GRPEL1	80273
20622	ENSG00000118363	SPCS2	9789
20626	ENSG00000178718	RPP25	54913
20627	ENSG00000197903	HIST1H2BK	85236
20633	ENSG00000020181	ADGRA2	25960
20634	ENSG00000126890	CTAG2	30848
20639	ENSG00000177138	FAM9B	171483
20642	ENSG00000167635	ZNF146	7705
20643	ENSG00000029559	IBSP	3381
20649	ENSG00000149489	ROM1	6094
20650	ENSG00000055950	MRPL43	84545
20651	ENSG00000109323	MANBA	4126
20656	ENSG00000174015	SPERT	220082
20658	ENSG00000162408	NOL9	79707
20659	ENSG00000185163	DDX51	317781
20661	ENSG00000112212	TSPO2	222642
20663	ENSG00000184005	ST6GALNAC3	256435
20665	ENSG00000161860	SYCE2	256126
20670	ENSG00000042286	AIFM2	84883
20673	ENSG00000237012	C6orf136	221545
20681	ENSG00000267028	TCF4-AS1	105372127
20682	ENSG00000162460	TMEM82	388595
20684	ENSG00000100650	SRSF5	6430
20685	ENSG00000186399	GOLGA8R	101059918
20686	ENSG00000229252	HLA-E	3133
20688	ENSG00000165304	MELK	9833
20691	ENSG00000104442	ARMC1	55156
20693	ENSG00000198171	DDRGK1	65992
20695	ENSG00000162878	PKDCC	91461
20700	ENSG00000198182	ZNF607	84775
20703	ENSG00000117222	RBBP5	5929
20711	ENSG00000171532	NEUROD2	4761
20714	ENSG00000177992	SPATA31E1	286234
20716	ENSG00000164930	FZD6	8323
20717	ENSG00000169403	PTAFR	5724
20719	ENSG00000204305	AGER	177
20720	ENSG00000154330	PGM5	5239
20723	ENSG00000164627	KIF6	221458
20725	ENSG00000110786	PTPN5	84867
20729	ENSG00000165828	PRAP1	118471
20731	ENSG00000227816	TAP1	6890
20733	ENSG00000166579	NDEL1	81565
20736	ENSG00000135898	GPR55	9290
20738	ENSG00000065491	TBC1D22B	55633
20740	ENSG00000128274	A4GALT	53947
20741	ENSG00000102001	CACNA1F	778
20743	ENSG00000152795	HNRNPDL	9987
20744	ENSG00000110852	CLEC2B	9976
20745	ENSG00000023445	BIRC3	330
20746	ENSG00000171631	P2RY6	5031
20749	ENSG00000112053	SLC26A8	116369
20750	ENSG00000127419	TMEM175	84286
20752	ENSG00000234781	LINC01103	101927360
20758	ENSG00000145388	METTL14	57721
20764	ENSG00000151617	EDNRA	1909
20765	ENSG00000154153	FAM134B	54463
20768	ENSG00000274768	CISD3	284106
20771	ENSG00000128609	NDUFA5	4698
20772	ENSG00000214700	C12orf71	728858
20773	ENSG00000205517	RGL3	57139
20775	ENSG00000228696	ARL17B	51326
20776	ENSG00000228696	ARL17B	100294341
20777	ENSG00000228696	ARL17B	100506084
20778	ENSG00000228696	ARL17B	100996709
20786	ENSG00000236346	NFKBIL1	4795
20787	ENSG00000128313	APOL5	80831
20789	ENSG00000206394	CLIC1	1192
20795	ENSG00000184408	KCND2	3751
20797	ENSG00000133247	KMT5C	84787
20801	ENSG00000203782	LOR	4014
20804	ENSG00000232423	PRAMEF6	440561
20806	ENSG00000138821	SLC39A8	64116
20811	ENSG00000132432	SEC61G	23480
20812	ENSG00000241749	RPSAP52	204010
20813	ENSG00000186889	TMEM17	200728
20814	ENSG00000104356	POP1	10940
20819	ENSG00000118640	VAMP8	8673
20823	ENSG00000142686	C1orf216	127703
20824	ENSG00000239789	MRPS17	51373
20826	ENSG00000206379	FLOT1	10211
20828	ENSG00000278488	NAPRT	93100
20830	ENSG00000274779	NOMO1	23420
20835	ENSG00000108262	GIT1	28964
20837	ENSG00000073417	PDE8A	5151
20841	ENSG00000174989	FBXW8	26259
20843	ENSG00000164778	EN2	2020
20846	ENSG00000274684	NMRAL1	57407
20847	ENSG00000126062	TMEM115	11070
20848	ENSG00000136631	VPS45	11311
20851	ENSG00000250988	SNHG21	100505616
20853	ENSG00000185420	SMYD3	64754
20856	ENSG00000054179	ENTPD2	954
20859	ENSG00000134323	MYCN	4613
20860	ENSG00000204842	ATXN2	6311
20863	ENSG00000119888	EPCAM	4072
20867	ENSG00000172757	CFL1	1072
20873	ENSG00000181409	AATK	9625
20876	ENSG00000121743	GJA3	2700
20880	ENSG00000277730	SCGB1C2	653486
20881	ENSG00000204179	PTPN20	26095
20882	ENSG00000204179	PTPN20	105369264
20887	ENSG00000100473	COCH	1690
20888	ENSG00000240957	LY6G6F	259215
20890	ENSG00000231048	LST1	7940
20892	ENSG00000226759	DAB1-AS1	101926890
20893	ENSG00000169131	ZNF354A	6940
20895	ENSG00000153303	FRMD1	79981
20897	ENSG00000136938	ANP32B	10541
20902	ENSG00000178796	RIIAD1	284485
20904	ENSG00000127989	MTERF1	7978
20905	ENSG00000132694	ARHGEF11	9826
20906	ENSG00000169902	TPST1	8460
20911	ENSG00000092621	PHGDH	26227
20914	ENSG00000188037	CLCN1	1180
20915	ENSG00000135750	KCNK1	3775
20916	ENSG00000007350	TKTL1	8277
20918	ENSG00000261992	GATAD2B	57459
20920	ENSG00000185700	TTTY8B	84673
20921	ENSG00000185700	TTTY8B	100101118
20922	ENSG00000133142	TCEAL4	79921
20923	ENSG00000196387	ZNF140	7699
20924	ENSG00000121989	ACVR2A	92
20931	ENSG00000197953	AADACL2	344752
20933	ENSG00000187066	TMEM262	100130348
20937	ENSG00000145826	LECT2	3950
20940	ENSG00000282712	DEAF1	10522
20941	ENSG00000135702	CHST5	23563
20942	ENSG00000109775	UFSP2	55325
20943	ENSG00000053372	MRTO4	51154
20944	ENSG00000205730	ITPRIPL2	162073
20945	ENSG00000163424	C3orf30	152405
20947	ENSG00000070882	OSBPL3	26031
20949	ENSG00000281580	LINC01060	401164
20955	ENSG00000166261	ZNF202	7753
20965	ENSG00000178394	HTR1A	3350
20966	ENSG00000147889	CDKN2A	1029
20968	ENSG00000125249	RAP2A	5911
20969	ENSG00000233890	TCF19	6941
20970	ENSG00000168826	ZBTB49	166793
20971	ENSG00000248593	DSTNP2	171220
20972	ENSG00000233067	PTCHD1-AS	100873065
20974	ENSG00000232677	LINC00665	100506930
20975	ENSG00000182315	MBD3L3	653657
20978	ENSG00000151461	UPF2	26019
20980	ENSG00000163444	TMEM183A	92703
20981	ENSG00000163444	TMEM183A	653659
20983	ENSG00000066813	ACSM2B	348158
20985	ENSG00000171045	TSNARE1	203062
20987	ENSG00000263528	IKBKE	9641
20988	ENSG00000197408	CYP2B6	1555
20989	ENSG00000180777	ANKRD30B	374860
20991	ENSG00000070190	DAPP1	27071
20993	ENSG00000006015	C19orf60	55049
20994	ENSG00000168228	ZCCHC4	29063
20996	ENSG00000065457	ADAT1	23536
20999	ENSG00000164190	NIPBL	25836
21004	ENSG00000091009	RBM27	54439
21007	ENSG00000281020	SNTG2	54221
21008	ENSG00000126267	COX6B1	1340
21010	ENSG00000126882	FAM78A	286336
21011	ENSG00000235597	LINC01102	150568
21012	ENSG00000155066	PROM2	150696
21013	ENSG00000234411	HCG14	414760
21016	ENSG00000277936	MRPL45	84311
21020	ENSG00000120242	IFNA8	3445
21021	ENSG00000250302	LINC01618	152578
21023	ENSG00000278759	TBCD	6904
21024	ENSG00000004799	PDK4	5166
21028	ENSG00000178602	OTOS	150677
21033	ENSG00000168438	CDC40	51362
21034	ENSG00000149798	CDC42EP2	10435
21035	ENSG00000184502	GAST	2520
21036	ENSG00000270816	LINC00221	338005
21037	ENSG00000124780	KCNK17	89822
21038	ENSG00000176732	PFN4	375189
21039	ENSG00000105974	CAV1	857
21040	ENSG00000157020	SEC13	6396
21041	ENSG00000068885	IFT80	57560
21042	ENSG00000257621	PSMA3-AS1	379025
21043	ENSG00000277586	NEFL	4747
21045	ENSG00000172771	EFCAB12	90288
