Source	Target	Type
ENSG00000129194	SOX_Q4	protein
RORC_01	ENSG00000198429	regulate
PAX6_02	ENSG00000064835	regulate
ENSG00000125813	ELK1PAX1_01	protein
OCT1_03	ENSG00000273841	regulate
BCL6_01	ENSG00000171872	regulate
IRF1_05	ENSG00000196391	regulate
ENSG00000064195	GCM2DLX3_01	protein
BCL6_01	ENSG00000204595	regulate
ENSG00000115966	ATF2_Q5	protein
OCT1_04	ENSG00000143355	regulate
HFH3_01	ENSG00000181666	regulate
LHX5_01	ENSG00000143373	regulate
MEIS1BHOXA9_02	ENSG00000168813	regulate
GLI2_03	ENSG00000198185	regulate
HNF3_Q6_01	ENSG00000182986	regulate
NKX3A_02	ENSG00000114861	regulate
PU1_Q4	ENSG00000234444	regulate
EGR1_12	ENSG00000149922	regulate
CRX_Q6	ENSG00000197841	regulate
ZNF665_01	ENSG00000111704	regulate
HNF3_Q6_01	ENSG00000196417	regulate
ENSG00000071564	HOXB2TCF3_01	protein
FOX_Q2	ENSG00000197008	regulate
TBX4_02	ENSG00000118217	regulate
RPC155_01	ENSG00000185022	regulate
ZNF540_02	ENSG00000170345	regulate
NANOG_02	ENSG00000118260	regulate
LXR_Q6	ENSG00000179059	regulate
ENSG00000063515	POU2F1GSC2_01	protein
BCL6_01	ENSG00000143067	regulate
ZNF764_01	ENSG00000140265	regulate
BCL6_01	ENSG00000088876	regulate
DBX1_01	ENSG00000188227	regulate
E4BP4_01	ENSG00000140265	regulate
HOXD1_01	ENSG00000173039	regulate
ENSG00000133794	ARNTLPITX1_01	protein
SOX14_08	ENSG00000165512	regulate
RFX5_02	ENSG00000177374	regulate
ENSG00000162599	NF1_Q6_01	protein
ENSG00000137265	IRF_Q4	protein
TCF11_01	ENSG00000110851	regulate
EGR1_16	ENSG00000164651	regulate
FOXJ2_01	ENSG00000172748	regulate
MAFG_01	ENSG00000156150	regulate
ENSG00000184058	TBX1_04	protein
K2B_01	ENSG00000169375	regulate
ENSG00000198026	ZNF335_01	protein
HDAC2_06	ENSG00000197780	regulate
DBX1_01	ENSG00000198169	regulate
FOXJ2_01	ENSG00000176472	regulate
HDAC2_06	ENSG00000132170	regulate
FOXP1_01	ENSG00000131115	regulate
BCL6_01	ENSG00000169136	regulate
ZNF133_02	ENSG00000181450	regulate
PU1_Q4	ENSG00000132005	regulate
CRX_Q6	ENSG00000073282	regulate
AML_Q6	ENSG00000172845	regulate
IRF1_05	ENSG00000197213	regulate
LUN1_01	ENSG00000091831	regulate
SC1_01	ENSG00000105722	regulate
ENSG00000163508	E2F3EOMES_01	protein
HNF3_Q6_01	ENSG00000283617	regulate
OCT1_04	ENSG00000156273	regulate
RPC155_01	ENSG00000115207	regulate
MEF2_04	ENSG00000198039	regulate
HDAC2_06	ENSG00000185024	regulate
ENSG00000257923	CDP_02	protein
PROP1_04	ENSG00000137309	regulate
ENSG00000125618	PAX8_B	protein
CRX_Q6	ENSG00000176165	regulate
P53_03	ENSG00000057657	regulate
ZNF45_02	ENSG00000188816	regulate
RUNX2_04	ENSG00000196381	regulate
LBX2_01	ENSG00000175387	regulate
RPC155_01	ENSG00000105732	regulate
ENSG00000172819	RARG_03	protein
ENSG00000257923	CUX1NHLH1_02	protein
HDAC2_03	ENSG00000188909	regulate
ENSG00000136574	GATA4_Q3	protein
BCL6_01	ENSG00000176371	regulate
NCX_02	ENSG00000145734	regulate
HDAC2_06	ENSG00000196391	regulate
POU3F1_Q6	ENSG00000155090	regulate
ENSG00000171223	JUNBFRA1_01	protein
FOXP1_01	ENSG00000105610	regulate
DBX2_01	ENSG00000160094	regulate
HDAC2_06	ENSG00000148835	regulate
NKX63_01	ENSG00000197483	regulate
ZNF236_04	ENSG00000197372	regulate
ENSG00000164299	SPZ1_01	protein
ENSG00000184486	OCTAMER_02	protein
FREAC7_01	ENSG00000118620	regulate
ENSG00000163508	PITX1EOMES_01	protein
DBX2_01	ENSG00000197905	regulate
GRHL1_01	ENSG00000197928	regulate
ZNF713_01	ENSG00000177873	regulate
ZNF157_02	ENSG00000186446	regulate
ENSG00000154727	GABPA_11	protein
HFH3_01	ENSG00000114126	regulate
NCX_02	ENSG00000172006	regulate
BCL6_01	ENSG00000161940	regulate
YY1_01	ENSG00000116017	regulate
BCL6_01	ENSG00000126351	regulate
ZFP30_02	ENSG00000169926	regulate
IRF1_05	ENSG00000157613	regulate
ENSG00000092067	CEBP_Q3	protein
BCL6_01	ENSG00000121864	regulate
HDAC2_06	ENSG00000164330	regulate
FOXP1_01	ENSG00000121413	regulate
HDAC2_06	ENSG00000102908	regulate
BCL6_01	ENSG00000198911	regulate
MSX1_04	ENSG00000175879	regulate
RXRA_07	ENSG00000085644	regulate
UNCX41_01	ENSG00000118156	regulate
GSH2_01	ENSG00000177551	regulate
NKX61_01	ENSG00000137185	regulate
BARX1_03	ENSG00000130711	regulate
RPC155_01	ENSG00000198315	regulate
ENSG00000203883	SOX18_06	protein
ZNF585A_02	ENSG00000170631	regulate
ENSG00000163508	ETV5EOMES_01	protein
HOXB4_01	ENSG00000198740	regulate
IRF1_05	ENSG00000182983	regulate
PMX2B_01	ENSG00000143257	regulate
HNF3_Q6_01	ENSG00000070476	regulate
HNF1B_04	ENSG00000081665	regulate
IRF3_Q3	ENSG00000172845	regulate
FOXC1_02	ENSG00000197024	regulate
CART1_01	ENSG00000197372	regulate
PROP1_04	ENSG00000001167	regulate
ENSG00000125492	BARHL1_01	protein
LXRBRXRA_Q5_01	ENSG00000124766	regulate
HNF3_Q6_01	ENSG00000167555	regulate
ENSG00000188227	ZNF793_01	protein
DLX3_Q3	ENSG00000159387	regulate
ZNF31_02	ENSG00000147124	regulate
MSX1_02	ENSG00000152977	regulate
FOXP1_01	ENSG00000149054	regulate
IPF1_06	ENSG00000177551	regulate
RPC155_01	ENSG00000141510	regulate
VSX1_01	ENSG00000173039	regulate
TCF11_01	ENSG00000105516	regulate
ENSG00000185252	COS52_02	protein
HDAC2_06	ENSG00000184271	regulate
ENSG00000172216	CEBPB_02	protein
TCF11MAFG_01	ENSG00000198105	regulate
ENSG00000258873	DUXA_01	protein
ETS1_04	ENSG00000106290	regulate
PR_02	ENSG00000186446	regulate
ZNF616_01	ENSG00000171817	regulate
OCT1_04	ENSG00000112561	regulate
HDAC2_06	ENSG00000267680	regulate
ENSG00000004848	ARX_03	protein
ENSG00000159184	FOXJ2HOXB13_01	protein
ENSG00000101076	HNF4A_11	protein
BCL6_01	ENSG00000160741	regulate
FOXJ2_01	ENSG00000204531	regulate
ENSG00000101412	E2F_Q6_01	protein
HTF_01	ENSG00000197062	regulate
NKX63_01	ENSG00000251192	regulate
HOXB2PAX1_02	ENSG00000181894	regulate
SIX3_Q6	ENSG00000249709	regulate
LXRBRXRA_Q5_01	ENSG00000120798	regulate
HDAC2_06	ENSG00000152433	regulate
SMAD2SMAD3SMAD4_01	ENSG00000142611	regulate
BCL6_01	ENSG00000196417	regulate
BCL6_01	ENSG00000180532	regulate
ENSG00000087510	TFAP2CE2F8_01	protein
BCL6_01	ENSG00000174586	regulate
NFYA_03	ENSG00000250312	regulate
CDX_Q5	ENSG00000198346	regulate
BCL6_01	ENSG00000158711	regulate
IRF1_05	ENSG00000198105	regulate
ZNF705D_01	ENSG00000171827	regulate
DUX4_02	ENSG00000171574	regulate
CART1_03	ENSG00000263001	regulate
IRF1_05	ENSG00000198807	regulate
CEBPD_Q6	ENSG00000101057	regulate
PROP1_02	ENSG00000169375	regulate
RPC155_01	ENSG00000181666	regulate
DMRT3_01	ENSG00000137090	regulate
FOXP1_01	ENSG00000100146	regulate
CRX_Q6	ENSG00000090447	regulate
IRF1_05	ENSG00000198342	regulate
ENSG00000101076	HNF4_01	protein
ENSG00000171817	ZNF540_02	protein
DLX2_01	ENSG00000196323	regulate
COUP_01	ENSG00000163848	regulate
COUPDR1_Q6	ENSG00000213967	regulate
ENSG00000178338	ZNF354B_02	protein
ENSG00000109851	DBX1_01	protein
TBX21_03	ENSG00000183733	regulate
ENSG00000198300	PEG3_02	protein
MEF2C_02	ENSG00000278129	regulate
FOXJ2_01	ENSG00000177463	regulate
ENSG00000164458	BRACH_02	protein
ZBTB18_01	ENSG00000109132	regulate
RPC155_01	ENSG00000109381	regulate
ENSG00000138083	SIX3_Q6	protein
FOX_Q2	ENSG00000273706	regulate
ENSG00000075426	JUNBFRA2_01	protein
RPC155_01	ENSG00000214513	regulate
HDAC2_06	ENSG00000164736	regulate
ENSG00000144852	PXR_Q2	protein
CART1_03	ENSG00000074047	regulate
ENSG00000065970	FOXJ2PITX1_01	protein
EGR1_12	ENSG00000099326	regulate
HNF3_Q6_01	ENSG00000198315	regulate
ENSG00000073861	HOXB13TBX21_01	protein
RPC155_01	ENSG00000177463	regulate
PLAG1_02	ENSG00000165556	regulate
ENSG00000183733	ERFFIGLA_01	protein
ENSG00000196092	ELK1PAX5_01	protein
POU6F1_03	ENSG00000029363	regulate
DUX4_01	ENSG00000185697	regulate
FOXJ3_08	ENSG00000158773	regulate
ENSG00000123576	ESX1_01	protein
RPC155_01	ENSG00000171295	regulate
FOXO3_03	ENSG00000148516	regulate
HNF3B_01	ENSG00000142409	regulate
ENSG00000126767	POU2F1ELK1_01	protein
SOX18_05	ENSG00000283179	regulate
IPF1_05	ENSG00000197587	regulate
GSC_01	ENSG00000165417	regulate
IRF1_05	ENSG00000129351	regulate
PAX4_04	ENSG00000275004	regulate
ENSG00000181135	ZNF707_01	protein
HSF2_Q6	ENSG00000275111	regulate
FOXJ2_02	ENSG00000152443	regulate
SOX2_Q3	ENSG00000065970	regulate
HOXA9_04	ENSG00000109851	regulate
IRF1_05	ENSG00000135373	regulate
ZNF551_02	ENSG00000100987	regulate
TEAD4HOXA3_01	ENSG00000221818	regulate
HDAC2_06	ENSG00000152443	regulate
PRDM14_01	ENSG00000197933	regulate
NRF1_02	ENSG00000198182	regulate
ZNF782_03	ENSG00000196109	regulate
ENSG00000172216	CEBP_Q3	protein
ENSG00000198300	PEG3_03	protein
LXRBRXRA_Q5_01	ENSG00000071794	regulate
ZNF143_03	ENSG00000163848	regulate
OCT2_01	ENSG00000196646	regulate
HNF1_Q6_01	ENSG00000198453	regulate
BCL6_01	ENSG00000184481	regulate
HDAC2_06	ENSG00000117010	regulate
ISX_03	ENSG00000074047	regulate
HDAC2_06	ENSG00000204947	regulate
MECP2_01	ENSG00000066422	regulate
MEIS1HOXA13_01	ENSG00000179456	regulate
NRF1_03	ENSG00000227124	regulate
CRX_Q6	ENSG00000064490	regulate
FOXP1_01	ENSG00000196378	regulate
CRX_Q6	ENSG00000177485	regulate
FOXJ2_01	ENSG00000122034	regulate
JUNBFRA1_01	ENSG00000128000	regulate
SREBF1_02	ENSG00000138083	regulate
HNF3_Q6_01	ENSG00000197579	regulate
ZNF569_03	ENSG00000104064	regulate
TFAP2CDLX3_03	ENSG00000151615	regulate
SIX3_Q6	ENSG00000124766	regulate
BCL6_01	ENSG00000106536	regulate
BCL6_01	ENSG00000197124	regulate
LXRBRXRA_Q5_01	ENSG00000181722	regulate
ENSG00000260596	DUX4_01	protein
ETV2EOMES_03	ENSG00000198816	regulate
NEUROD2_01	ENSG00000130544	regulate
FOXP1_01	ENSG00000167555	regulate
BCL6_01	ENSG00000108511	regulate
PIT1_Q6	ENSG00000012223	regulate
ZNF224_02	ENSG00000134323	regulate
ENSG00000145908	ZNF300_02	protein
OCT1_03	ENSG00000176222	regulate
HDAC2_06	ENSG00000141510	regulate
CDX_Q5	ENSG00000173039	regulate
ENSG00000180884	ZNF792_01	protein
EVI1_04	ENSG00000283620	regulate
FOXD3_04	ENSG00000102145	regulate
ENSG00000196453	ZNF777_01	protein
HOXC9_01	ENSG00000221869	regulate
ENSG00000150907	CUX1FOXO1_01	protein
OCT4_01	ENSG00000169635	regulate
NMYC_01	ENSG00000197385	regulate
CTCF_03	ENSG00000163435	regulate
ENSG00000135100	HNF1A_Q4	protein
AIRE_01	ENSG00000133740	regulate
ZNF594_03	ENSG00000171540	regulate
HNF3_Q6_01	ENSG00000169083	regulate
RPC155_01	ENSG00000116017	regulate
IRF4_Q5	ENSG00000100393	regulate
ENSG00000126767	ELK1_02	protein
ENSG00000068305	MEF2_04	protein
FOXJ2_01	ENSG00000204595	regulate
BCL6_01	ENSG00000142611	regulate
ENSG00000143190	POU2F1DLX2_01	protein
ZNF677_02	ENSG00000126778	regulate
POU2F2_08	ENSG00000177842	regulate
ENSG00000197579	LUN1_01	protein
FOXN2_02	ENSG00000186777	regulate
DMRT1_01	ENSG00000122877	regulate
ENSG00000141646	SMAD4_Q6	protein
BCL6_01	ENSG00000204524	regulate
STAT5A_Q6	ENSG00000213762	regulate
HOXD3_01	ENSG00000197483	regulate
COUPTF_Q6	ENSG00000106031	regulate
BCL6_01	ENSG00000101883	regulate
LXRBRXRA_Q5_01	ENSG00000181894	regulate
BCL6_01	ENSG00000129351	regulate
HOXB2ELK1_02	ENSG00000096654	regulate
ENSG00000184481	FOXO4_02	protein
ENSG00000165606	DRGX_01	protein
LXRBRXRA_Q5_01	ENSG00000159216	regulate
FREAC7_01	ENSG00000266265	regulate
DMRT4_01	ENSG00000283088	regulate
GTF3C2_01	ENSG00000007968	regulate
CEBP_Q2_01	ENSG00000010818	regulate
CUX1FOXO1_01	ENSG00000005073	regulate
CMYB_Q5	ENSG00000214717	regulate
CGBP_01	ENSG00000065970	regulate
HDAC2_06	ENSG00000159885	regulate
HOXD10_01	ENSG00000143171	regulate
ENSG00000184481	FOXO4_03	protein
HFH3_01	ENSG00000157613	regulate
LHX5_01	ENSG00000113430	regulate
BARX2_01	ENSG00000160352	regulate
AR_14_H	ENSG00000186564	regulate
ENSG00000142065	ZFP14_01	protein
ENSG00000107175	CREB3_02	protein
LHX2_01	ENSG00000152977	regulate
BCL6_01	ENSG00000025156	regulate
ENSG00000105136	ZNF419_01	protein
NFIA_03	ENSG00000010030	regulate
OCT1_04	ENSG00000184939	regulate
HDAC2_06	ENSG00000198521	regulate
NANOG_02	ENSG00000196793	regulate
ENSG00000168610	STAT_Q6	protein
FOX_Q2	ENSG00000198464	regulate
BCL6_01	ENSG00000100644	regulate
ENSG00000175745	COUPDR1_Q6	protein
FOX_Q2	ENSG00000067646	regulate
ZNF696_01	ENSG00000181007	regulate
FOXJ2_01	ENSG00000198517	regulate
SHOX2_01	ENSG00000113430	regulate
MEIS1DLX2_01	ENSG00000141646	regulate
DMRT5_01	ENSG00000081386	regulate
FOXP1_01	ENSG00000197008	regulate
IRF1_05	ENSG00000154957	regulate
ZNF441_02	ENSG00000166211	regulate
HDAC2_06	ENSG00000105392	regulate
LXRBRXRA_Q5_01	ENSG00000160321	regulate
BTEB2_Q3	ENSG00000223547	regulate
T3RBETA_Q6_01	ENSG00000152284	regulate
POU4F3_02	ENSG00000167074	regulate
ARX_01	ENSG00000174963	regulate
REST_04	ENSG00000100393	regulate
ICSBP_Q6	ENSG00000178187	regulate
ENSG00000196263	ZNF471_02	protein
ENSG00000100811	YY1_02	protein
ALX3_04	ENSG00000137309	regulate
SOX21_07	ENSG00000185252	regulate
BCL6_01	ENSG00000169951	regulate
CDX_Q5	ENSG00000178665	regulate
ENSG00000039600	SOX_Q4	protein
NFAT5_Q5_03	ENSG00000197782	regulate
RUNX2_04	ENSG00000166949	regulate
BCL6_01	ENSG00000157613	regulate
ENSG00000008441	NFIX_02	protein
RPC155_01	ENSG00000114861	regulate
ENSG00000131196	NFATC1_02	protein
EMX2_04	ENSG00000214029	regulate
SOX21_05	ENSG00000105672	regulate
ZNF677_02	ENSG00000116819	regulate
TBX5CSX_Q5	ENSG00000198807	regulate
CUX1FOXO6_01	ENSG00000007372	regulate
BCL6_01	ENSG00000182759	regulate
ENSG00000128652	HOXD3_01	protein
BTEB2_Q3	ENSG00000186300	regulate
ENSG00000136826	GKLF_Q3	protein
DUX4_02	ENSG00000119547	regulate
ENSG00000120738	KROX_Q6	protein
BCL6_01	ENSG00000198393	regulate
BCL6_01	ENSG00000128000	regulate
ENSG00000105722	ERFDLX3_01	protein
ZNF652_04	ENSG00000105880	regulate
ENSG00000124827	GCM2DLX3_01	protein
RPC155_01	ENSG00000186020	regulate
CGBP_01	ENSG00000213973	regulate
ZNF441_01	ENSG00000186020	regulate
SOX11_Q6	ENSG00000167081	regulate
ZNF210_01	ENSG00000180613	regulate
TEF_03	ENSG00000197808	regulate
HDAC2_06	ENSG00000197016	regulate
HDAC2_06	ENSG00000198911	regulate
BCL6_01	ENSG00000171425	regulate
HNF3_Q6_01	ENSG00000198521	regulate
BCL6_01	ENSG00000254004	regulate
IRF1_05	ENSG00000185024	regulate
HNF3B_01	ENSG00000180626	regulate
BCL6_01	ENSG00000203326	regulate
ARNTLBHLHA15_01	ENSG00000197587	regulate
FOXN2_02	ENSG00000121406	regulate
BCL6_01	ENSG00000144026	regulate
HDAC2_06	ENSG00000130700	regulate
ENSG00000143190	POU2F1TBX21_01	protein
HDAC2_06	ENSG00000153779	regulate
IRF2_Q6	ENSG00000182318	regulate
HLF_04	ENSG00000110777	regulate
ENSG00000186350	CARRXR_Q2	protein
BCL6_01	ENSG00000111783	regulate
CRX_Q4	ENSG00000164683	regulate
ZNF227_02	ENSG00000196417	regulate
ENSG00000108511	HOXB6_01	protein
NFYB_01	ENSG00000182141	regulate
HDAC2_06	ENSG00000072310	regulate
HNF3_Q6_01	ENSG00000198026	regulate
MEF2A_06	ENSG00000067082	regulate
FOX_Q2	ENSG00000144026	regulate
ENSG00000130675	MNX1_02	protein
IRF1_05	ENSG00000008441	regulate
RPC155_01	ENSG00000172262	regulate
ENSG00000125813	HOXB2PAX1_02	protein
HNF3B_01	ENSG00000197483	regulate
AIRE_01	ENSG00000184492	regulate
DUXA_01	ENSG00000171574	regulate
SOX14_08	ENSG00000197044	regulate
ENSG00000198466	ZNF587_01	protein
LHX2_01	ENSG00000116044	regulate
THRB_02	ENSG00000066336	regulate
ENSG00000145908	ZNF300_01	protein
NFKB1_Q4	ENSG00000172059	regulate
RPC155_01	ENSG00000196172	regulate
E2F3EOMES_01	ENSG00000180035	regulate
TFAP4ETV4_01	ENSG00000100987	regulate
HNF3_Q6_01	ENSG00000154957	regulate
CRX_Q6	ENSG00000115207	regulate
BCL6_01	ENSG00000131848	regulate
LUN1_01	ENSG00000162714	regulate
ZNF91_06	ENSG00000197213	regulate
COS52_01	ENSG00000198346	regulate
TCF11_01	ENSG00000143171	regulate
HNF4_Q6_01	ENSG00000165244	regulate
ZNF254_03	ENSG00000283321	regulate
HDAC2_06	ENSG00000170365	regulate
EGR1_12	ENSG00000196793	regulate
ENSG00000131759	DR4_Q2	protein
ENSG00000150907	FOXO1ELK3_02	protein
POU3F1_Q6	ENSG00000029153	regulate
HDAC2_06	ENSG00000121075	regulate
BCL6_01	ENSG00000181722	regulate
BCL6_01	ENSG00000196247	regulate
ENSG00000111046	E2A_Q2	protein
NKX63_01	ENSG00000125846	regulate
NFAT2_Q5_01	ENSG00000186020	regulate
CUX1TBX21_01	ENSG00000125813	regulate
OCT1_04	ENSG00000124613	regulate
IRF4_Q5	ENSG00000064195	regulate
ELK1PAX1_01	ENSG00000112658	regulate
IRF1_05	ENSG00000223614	regulate
ENSG00000164330	COE1_Q6	protein
ALX3_01	ENSG00000173039	regulate
FOXP1_01	ENSG00000198429	regulate
BCL6_01	ENSG00000159184	regulate
HNF3_Q6_01	ENSG00000101115	regulate
IRX3_02	ENSG00000123411	regulate
HDAC2_06	ENSG00000257446	regulate
COUPTF2_Q6	ENSG00000063515	regulate
FOXJ2_02	ENSG00000162761	regulate
ENSG00000164778	EN2_01	protein
RPC155_01	ENSG00000136367	regulate
RPC155_01	ENSG00000165462	regulate
ENSG00000177508	IRX3_02	protein
SETDB1_01	ENSG00000140987	regulate
BCL6_01	ENSG00000197933	regulate
TFAP2C_04	ENSG00000196793	regulate
FOX_Q2	ENSG00000127528	regulate
S8_01	ENSG00000126603	regulate
BARX2_01	ENSG00000198740	regulate
ZNF699_02	ENSG00000120068	regulate
NFATC1_01	ENSG00000105967	regulate
ENSG00000273706	LIM1_01	protein
HOXB3_01	ENSG00000173039	regulate
HNF3B_01	ENSG00000134323	regulate
RPC155_01	ENSG00000180884	regulate
E2F3EOMES_01	ENSG00000167635	regulate
ENSG00000260596	DUX4_02	protein
ISX_03	ENSG00000137309	regulate
EOMES_06	ENSG00000135547	regulate
ENSG00000124827	GCM2DLX2_01	protein
ZNF143_03	ENSG00000107249	regulate
RPC155_01	ENSG00000088876	regulate
PAX8_B	ENSG00000133740	regulate
ENSG00000101076	HNF4A_Q6_01	protein
PIT1_01	ENSG00000169375	regulate
CGBP_01	ENSG00000111249	regulate
ENSG00000090447	TFAP4ETV4_01	protein
RFX2_01	ENSG00000171223	regulate
AIRE_01	ENSG00000184659	regulate
ENSG00000204060	FOXO6_01	protein
E4BP4_01	ENSG00000105610	regulate
OCT1_04	ENSG00000065970	regulate
ENSG00000186350	RXRA_07	protein
TFAP2CE2F8_01	ENSG00000185697	regulate
ENSG00000126767	ELK1_09	protein
ENSG00000275410	HNF1_Q6	protein
ENSG00000112658	SRF_11	protein
LXRBRXRA_Q5_01	ENSG00000159184	regulate
FOX_Q2	ENSG00000152284	regulate
OCT1_08	ENSG00000169375	regulate
FOXP1_01	ENSG00000197619	regulate
ENSG00000090447	TFAP4DLX3_01	protein
ENSG00000197619	ZNF615_02	protein
HDAC2_06	ENSG00000105750	regulate
HDAC2_06	ENSG00000143799	regulate
FOXP1_01	ENSG00000186300	regulate
FOXD3_04	ENSG00000106459	regulate
ZNF674_01	ENSG00000197279	regulate
FOXP1_01	ENSG00000173976	regulate
BCL6_01	ENSG00000263002	regulate
BCL6_01	ENSG00000052850	regulate
ETS1_04	ENSG00000263001	regulate
FOXP1_01	ENSG00000172000	regulate
NFYC_Q5	ENSG00000126778	regulate
ENSG00000129194	HOXB2SOX15_01	protein
LHX3_01	ENSG00000198740	regulate
HNF3_Q6_01	ENSG00000273706	regulate
RPC155_01	ENSG00000140262	regulate
ZNF133_03	ENSG00000197363	regulate
BCL6_01	ENSG00000152467	regulate
PBX3_03	ENSG00000103343	regulate
ENSG00000112658	SRF_07	protein
SOX2_05	ENSG00000138738	regulate
IRF1_05	ENSG00000184937	regulate
ENSG00000118689	FOXO3A_Q3	protein
HDAC2_06	ENSG00000162086	regulate
RPC155_01	ENSG00000267680	regulate
ENSG00000122145	TBX22_01	protein
ENSG00000125285	SOX21_07	protein
NKX12_01	ENSG00000117036	regulate
ARNTLBHLHA15_01	ENSG00000128652	regulate
HNF3_Q6_01	ENSG00000141956	regulate
BCL6_01	ENSG00000173976	regulate
PU1_Q4	ENSG00000196092	regulate
ENSG00000080298	RFX3SRF_01	protein
SRY_08	ENSG00000147140	regulate
ENSG00000205250	E2F_Q6_01	protein
HFH3_01	ENSG00000169548	regulate
ZNF256_02	ENSG00000181896	regulate
FOXP1_01	ENSG00000185024	regulate
ENSG00000115844	ERFDLX2_01	protein
ENSG00000173917	HOXB2ESRRB_01	protein
HDAC2_06	ENSG00000120798	regulate
YY1_Q4_01	ENSG00000196967	regulate
EN1_08	ENSG00000173039	regulate
IRX3_02	ENSG00000101115	regulate
MEF2_Q6_03	ENSG00000139800	regulate
ENSG00000167157	S8_02	protein
HFH3_01	ENSG00000167074	regulate
HDAC2_06	ENSG00000104447	regulate
IRF1_05	ENSG00000213020	regulate
FIZ1_01	ENSG00000037965	regulate
HDAC2_06	ENSG00000120093	regulate
ENSG00000179943	FIZ1_01	protein
BCL6_01	ENSG00000072736	regulate
IRF1_05	ENSG00000244405	regulate
ENSG00000091831	ESR1_03	protein
BCL6_01	ENSG00000167394	regulate
RPC155_01	ENSG00000173757	regulate
HFH8_01	ENSG00000256771	regulate
ENSG00000186130	ZID_01	protein
LHX9_01	ENSG00000113430	regulate
EGR1_12	ENSG00000103199	regulate
FOXP1_01	ENSG00000185697	regulate
YY1_01	ENSG00000172201	regulate
ENSG00000154832	CGBP_02	protein
FOX_Q2	ENSG00000197128	regulate
POU2F1GSC2_01	ENSG00000124613	regulate
ENSG00000005513	SOX_Q4	protein
HOXD3_01	ENSG00000169375	regulate
ZNF210_01	ENSG00000205922	regulate
CRX_Q6	ENSG00000130182	regulate
ENSG00000062370	ZNF228_01	protein
TFAP2C_01	ENSG00000052850	regulate
RPC155_01	ENSG00000139613	regulate
ENSG00000164853	UNCX_02	protein
EGR1_12	ENSG00000196387	regulate
TCF11_01	ENSG00000204514	regulate
ZNF21_02	ENSG00000177508	regulate
HFH3_01	ENSG00000130856	regulate
OCT2_01	ENSG00000213999	regulate
ZNF311_02	ENSG00000250571	regulate
FOXC1_02	ENSG00000128645	regulate
ENSG00000143190	POU2F1ELK1_01	protein
CP2_Q4	ENSG00000123388	regulate
ENSG00000118707	TGIF2_01	protein
NANOG_02	ENSG00000175787	regulate
ZNF254_03	ENSG00000197928	regulate
DBX2_01	ENSG00000161405	regulate
RPC155_01	ENSG00000071794	regulate
ENSG00000106459	NRF1_03	protein
ENSG00000112333	NR2E1_02	protein
LMX1B_01	ENSG00000105717	regulate
MEF2A_05	ENSG00000125817	regulate
HMGIY_Q3	ENSG00000217236	regulate
FOXD4L6_01	ENSG00000179195	regulate
MSX1_04	ENSG00000159692	regulate
ENSG00000131115	ZNF227_02	protein
IPF1_06	ENSG00000163884	regulate
HSF4_01	ENSG00000074047	regulate
RPC155_01	ENSG00000167635	regulate
RXRRAR_01	ENSG00000176371	regulate
ENSG00000131408	DR4_Q2	protein
ENSG00000071794	HLTF_Q4	protein
ENSG00000082175	PR_01	protein
IRX3_02	ENSG00000029363	regulate
ENSG00000147118	ZNF21_02	protein
ENSG00000080298	RFX1_Q6	protein
FOX_Q2	ENSG00000258289	regulate
GTF3C2_01	ENSG00000257923	regulate
CDX_Q5	ENSG00000077150	regulate
SOX_Q4	ENSG00000168122	regulate
HNF1B_04	ENSG00000256771	regulate
ENSG00000267508	ZNF285_01	protein
ENSG00000160199	PREP1_01	protein
HDAC2_06	ENSG00000100625	regulate
ERBETA_Q5_01	ENSG00000118217	regulate
HNF3_Q6_01	ENSG00000171469	regulate
BCL6_01	ENSG00000140968	regulate
UNCX_02	ENSG00000197961	regulate
IRX5_01	ENSG00000066336	regulate
CEBPE_Q6	ENSG00000108001	regulate
JUND_05	ENSG00000100625	regulate
POU2F2_03	ENSG00000196381	regulate
ALX3_01	ENSG00000186951	regulate
FOX_Q2	ENSG00000185670	regulate
POU5F1B_02	ENSG00000197905	regulate
EGR1_12	ENSG00000173275	regulate
ENSG00000196152	ZNF79_02	protein
GFI1_01	ENSG00000196767	regulate
ENSG00000184939	ZFP90_02	protein
ENSG00000068305	RSRFC4_01	protein
UNCX_02	ENSG00000164853	regulate
HMGIY_Q3	ENSG00000176692	regulate
MSX1_02	ENSG00000275111	regulate
ENSG00000159387	IRXB3_01	protein
ENSG00000165556	CDX2_Q6	protein
DLX1_01	ENSG00000251192	regulate
AREB6_01	ENSG00000196946	regulate
BCL6_01	ENSG00000186230	regulate
DR4_Q2	ENSG00000230797	regulate
ENSG00000143355	LHX9_04	protein
BCL6_01	ENSG00000213988	regulate
POU2F1TBX21_01	ENSG00000161298	regulate
ZNF705D_01	ENSG00000197841	regulate
FOXN4_01	ENSG00000131848	regulate
BCL6_01	ENSG00000131196	regulate
RXRA_07	ENSG00000204514	regulate
EGR1_16	ENSG00000198597	regulate
ENSG00000118689	FOXO3_03	protein
SOX5_07	ENSG00000135457	regulate
ZNF431_03	ENSG00000183850	regulate
ENSG00000185022	MAFF_05	protein
MMEF2_Q6	ENSG00000130675	regulate
ENSG00000196591	HDAC2_03	protein
POU2F1FOXO6_01	ENSG00000127903	regulate
FOXE3_01	ENSG00000106331	regulate
